TraceNo.;Realduration(ms);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained)
10;77681000;0;1;77680999;81595799;81595799;81595799;81595799;78516762;83244638;3914800;3914800;3914800;3914800;835763;5563639;1;794001;76886999;80801799;77967423;77967423;77967423;74008453;78523315;3914800;1080424;1080424;1080424;2878546;1636316;2;6848001;70832999;74747799;58158451;58158451;58158451;59845898;64261308;3914800;12674548;12674548;12674548;10987101;6571691;3;12032001;65648999;69563799;42744987;42744987;42744987;43956782;47380298;3914800;22904012;22904012;22904012;21692217;18268701;4;16978001;60702999;64617799;23396509;23396509;23396509;25116316;25179328;3914800;37306490;37306490;37306490;35586683;35523671;5;75641001;2039999;5954799;13130237;13130237;13130237;12970232;8086015;3914800;11090238;11090238;11090238;10930233;6046016;6;77262001;418999;4333799;2307032;2307032;2307032;2631914;2069398;3914800;1888033;1888033;1888033;2212915;1650399
11;76985000;0;1;76984999;81595799;81595799;81595799;81595799;81768290;80314042;4610800;4610800;4610800;4610800;4783291;3329043;1;742001;76242999;80853799;77967423;77967423;77967423;76926700;72746545;4610800;1724424;1724424;1724424;683701;3496454;2;4325001;72659999;77270799;58158451;58158451;58158451;58471320;62439058;4610800;14501548;14501548;14501548;14188679;10220941;3;8255001;68729999;73340799;42744987;42744987;42744987;44872288;35864788;4610800;25985012;25985012;25985012;23857711;32865211;4;13635001;63349999;67960799;23396509;23396509;23396509;22824159;21790408;4610800;39953490;39953490;39953490;40525840;41559591;5;17986001;58998999;63609799;13130237;13130237;13130237;13059346;13651702;4610800;45868762;45868762;45868762;45939653;45347297;6;76329001;655999;5266799;2307032;2307032;2307032;2346214;2648575;4610800;1651033;1651033;1651033;1690215;1992576
12;79248000;0;1;79247999;81595799;81595799;81595799;81595799;83828610;84283601;2347800;2347800;2347800;2347800;4580611;5035602;1;1175001;78072999;80420799;77967423;77967423;77967423;76827672;74088395;2347800;105576;105576;105576;1245327;3984604;2;5877001;73370999;75718799;58158451;58158451;58158451;59156676;60387265;2347800;15212548;15212548;15212548;14214323;12983734;3;8920001;70327999;72675799;42744987;42744987;42744987;43215554;50684972;2347800;27583012;27583012;27583012;27112445;19643027;4;13493001;65754999;68102799;23396509;23396509;23396509;23669609;18893895;2347800;42358490;42358490;42358490;42085390;46861104;5;74619001;4628999;6976799;13130237;13130237;13130237;12655739;8958608;2347800;8501238;8501238;8501238;8026740;4329609;6;78439001;808999;3156799;2307032;2307032;2307032;2389567;3377455;2347800;1498033;1498033;1498033;1580568;2568456
13;84116000;0;1;84115999;81595799;81595799;81595799;81595799;85838557;79193755;2520200;2520200;2520200;2520200;1722558;4922244;1;790001;83325999;80805799;77967423;77967423;77967423;79438939;77000381;2520200;5358576;5358576;5358576;3887060;6325618;2;7545001;76570999;74050799;58158451;58158451;58158451;55570009;57757272;2520200;18412548;18412548;18412548;21000990;18813727;3;12328001;71787999;69267799;42744987;42744987;42744987;44408923;42473965;2520200;29043012;29043012;29043012;27379076;29314034;4;75114001;9001999;6481799;23396509;23396509;23396509;23561427;28428982;2520200;14394510;14394510;14394510;14559428;19426983;5;79478001;4637999;2117799;13130237;13130237;13130237;13948048;14130592;2520200;8492238;8492238;8492238;9310049;9492593;6;83729001;386999;0;2307032;2307032;2307032;2165912;2297802;386999;1920033;1920033;1920033;1778913;1910803
14;80933000;0;1;80932999;81595799;81595799;81595799;81595799;78509412;71214185;662800;662800;662800;662800;2423587;9718814;1;600001;80332999;80995799;77967423;77967423;77967423;77338470;75450215;662800;2365576;2365576;2365576;2994529;4882784;2;8615001;72317999;72980799;58158451;58158451;58158451;56878155;58975275;662800;14159548;14159548;14159548;15439844;13342724;3;12677001;68255999;68918799;42744987;42744987;42744987;46385764;43247388;662800;25511012;25511012;25511012;21870235;25008611;4;73512001;7420999;8083799;23396509;23396509;23396509;23454697;22992182;662800;15975510;15975510;15975510;16033698;15571183;5;77282001;3650999;4313799;13130237;13130237;13130237;11699899;12756515;662800;9479238;9479238;9479238;8048900;9105516;6;80397001;535999;1198799;2307032;2307032;2307032;2243919;1720605;662800;1771033;1771033;1771033;1707920;1184606
15;78554000;0;1;78553999;81595799;81595799;81595799;81595799;81485740;83263315;3041800;3041800;3041800;3041800;2931741;4709316;1;840001;77713999;80755799;77967423;77967423;77967423;83006313;72598115;3041800;253424;253424;253424;5292314;5115884;2;6814001;71739999;74781799;58158451;58158451;58158451;58033150;55665975;3041800;13581548;13581548;13581548;13706849;16074024;3;11150001;67403999;70445799;42744987;42744987;42744987;43297817;44946915;3041800;24659012;24659012;24659012;24106182;22457084;4;71884001;6669999;9711799;23396509;23396509;23396509;22662121;21032548;3041800;16726510;16726510;16726510;15992122;14362549;5;73949001;4604999;7646799;13130237;13130237;13130237;13133223;12188822;3041800;8525238;8525238;8525238;8528224;7583823;6;78093001;460999;3502799;2307032;2307032;2307032;2394483;2476138;3041800;1846033;1846033;1846033;1933484;2015139
16;76186000;0;1;76185999;81595799;81595799;81595799;81595799;82997061;85670921;5409800;5409800;5409800;5409800;6811062;9484922;1;858001;75327999;80737799;77967423;77967423;77967423;79672184;74944152;5409800;2639424;2639424;2639424;4344185;383847;2;62353001;13832999;19242799;58158451;58158451;58158451;55473258;67504918;5409800;44325452;44325452;44325452;41640259;53671919;3;67059001;9126999;14536799;42744987;42744987;42744987;43009498;39661838;5409800;33617988;33617988;33617988;33882499;30534839;4;71975001;4210999;9620799;23396509;23396509;23396509;21926786;26474578;5409800;19185510;19185510;19185510;17715787;22263579;5;74460001;1725999;7135799;13130237;13130237;13130237;11915399;12544585;5409800;11404238;11404238;11404238;10189400;10818586;6;75662001;523999;5933799;2307032;2307032;2307032;2286182;951242;5409800;1783033;1783033;1783033;1762183;427243
17;74654000;0;1;74653999;81595799;81595799;81595799;81595799;78743736;78980938;6941800;6941800;6941800;6941800;4089737;4326939;1;1116001;73537999;80479799;77967423;77967423;77967423;76868321;68966932;6941800;4429424;4429424;4429424;3330322;4571067;2;6190001;68463999;75405799;58158451;58158451;58158451;55648673;50376082;6941800;10305548;10305548;10305548;12815326;18087917;3;10903001;63750999;70692799;42744987;42744987;42744987;41696634;40826702;6941800;21006012;21006012;21006012;22054365;22924297;4;71352001;3301999;10243799;23396509;23396509;23396509;22565020;23244172;6941800;20094510;20094510;20094510;19263021;19942173;5;72590001;2063999;9005799;13130237;13130237;13130237;13725332;14045845;6941800;11066238;11066238;11066238;11661333;11981846;6;74214001;439999;7381799;2307032;2307032;2307032;2423000;1505095;6941800;1867033;1867033;1867033;1983001;1065096
18;82540000;0;1;82539999;81595799;81595799;81595799;81595799;82857681;82321152;944200;944200;944200;944200;317682;218847;1;876001;81663999;80719799;77967423;77967423;77967423;80100369;75784822;944200;3696576;3696576;3696576;1563630;5879177;2;6877001;75662999;74718799;58158451;58158451;58158451;61345693;63042202;944200;17504548;17504548;17504548;14317306;12620797;3;69642001;12897999;11953799;42744987;42744987;42744987;41497814;34194582;944200;29846988;29846988;29846988;28599815;21296583;4;74679001;7860999;6916799;23396509;23396509;23396509;23012305;24072335;944200;15535510;15535510;15535510;15151306;16211336;5;78746001;3793999;2849799;13130237;13130237;13130237;12992520;9543892;944200;9336238;9336238;9336238;9198521;5749893;6;82049001;490999;0;2307032;2307032;2307032;2127019;1513645;490999;1816033;1816033;1816033;1636020;1022646
19;80366000;0;1;80365999;81595799;81595799;81595799;81595799;77152476;76854181;1229800;1229800;1229800;1229800;3213523;3511818;1;670001;79695999;80925799;77967423;77967423;77967423;81797823;80088278;1229800;1728576;1728576;1728576;2101824;392279;2;8101001;72264999;73494799;58158451;58158451;58158451;56874177;58682585;1229800;14106548;14106548;14106548;15390822;13582414;3;68925001;11440999;12670799;42744987;42744987;42744987;43118133;38939508;1229800;31303988;31303988;31303988;31677134;27498509;4;73968001;6397999;7627799;23396509;23396509;23396509;23401163;24229678;1229800;16998510;16998510;16998510;17003164;17831679;5;77383001;2982999;4212799;13130237;13130237;13130237;13532074;11838845;1229800;10147238;10147238;10147238;10549075;8855846;6;79556001;809999;2039799;2307032;2307032;2307032;2506653;2990675;1229800;1497033;1497033;1497033;1696654;2180676
20;74348000;0;1;74347999;81595799;81595799;81595799;81595799;83351958;74876225;7247800;7247800;7247800;7247800;9003959;528226;1;729001;73618999;80866799;77967423;77967423;77967423;81992374;87417008;7247800;4348424;4348424;4348424;8373375;13798009;2;6256001;68091999;75339799;58158451;58158451;58158451;57200876;55785512;7247800;9933548;9933548;9933548;10891123;12306487;3;64351001;9996999;17244799;42744987;42744987;42744987;42695156;48324025;7247800;32747988;32747988;32747988;32698157;38327026;4;69281001;5066999;12314799;23396509;23396509;23396509;22934196;26036565;7247800;18329510;18329510;18329510;17867197;20969566;5;71329001;3018999;10266799;13130237;13130237;13130237;13869831;15255022;7247800;10111238;10111238;10111238;10850832;12236023;6;73790001;557999;7805799;2307032;2307032;2307032;2512491;2251242;7247800;1749033;1749033;1749033;1954492;1693243
21;83663000;0;1;83662999;81595799;81595799;81595799;81595799;82318716;75116785;2067200;2067200;2067200;2067200;1344283;8546214;1;552001;83110999;81043799;77967423;77967423;77967423;75920280;87313598;2067200;5143576;5143576;5143576;7190719;4202599;2;69819001;13843999;11776799;58158451;58158451;58158451;58941561;55745918;2067200;44314452;44314452;44314452;45097562;41901919;3;72882001;10780999;8713799;42744987;42744987;42744987;44041949;47825898;2067200;31963988;31963988;31963988;33260950;37044899;4;78409001;5253999;3186799;23396509;23396509;23396509;25034003;20266178;2067200;18142510;18142510;18142510;19780004;15012179;5;79942001;3720999;1653799;13130237;13130237;13130237;13602532;12105342;2067200;9409238;9409238;9409238;9881533;8384343;6;83270001;392999;0;2307032;2307032;2307032;2341675;3053582;392999;1914033;1914033;1914033;1948676;2660583
22;85775000;0;1;85774999;81595799;81595799;81595799;81595799;82337386;90408282;4179200;4179200;4179200;4179200;3437613;4633283;1;852001;84922999;80743799;77967423;77967423;77967423;77383972;79389722;4179200;6955576;6955576;6955576;7539027;5533277;2;68066001;17708999;13529799;58158451;58158451;58158451;60344946;54164485;4179200;40449452;40449452;40449452;42635947;36455486;3;72339001;13435999;9256799;42744987;42744987;42744987;42364976;49959228;4179200;29308988;29308988;29308988;28928977;36523229;4;77274001;8500999;4321799;23396509;23396509;23396509;23758769;19163342;4179200;14895510;14895510;14895510;15257770;10662343;5;81213001;4561999;382799;13130237;13130237;13130237;14266760;9742762;4179200;8568238;8568238;8568238;9704761;5180763;6;85367001;407999;0;2307032;2307032;2307032;2320371;3392955;407999;1899033;1899033;1899033;1912372;2984956
23;76659000;0;1;76658999;81595799;81595799;81595799;81595799;78602041;79439885;4936800;4936800;4936800;4936800;1943042;2780886;1;947001;75711999;80648799;77967423;77967423;77967423;80269226;77302805;4936800;2255424;2255424;2255424;4557227;1590806;2;3529001;73129999;78066799;58158451;58158451;58158451;55033202;59856205;4936800;14971548;14971548;14971548;18096797;13273794;3;63880001;12778999;17715799;42744987;42744987;42744987;42069602;44393828;4936800;29965988;29965988;29965988;29290603;31614829;4;68731001;7927999;12864799;23396509;23396509;23396509;24387289;22267078;4936800;15468510;15468510;15468510;16459290;14339079;5;71388001;5270999;10207799;13130237;13130237;13130237;12116411;14240422;4936800;7859238;7859238;7859238;6845412;8969423;6;76057001;601999;5538799;2307032;2307032;2307032;2185902;977408;4936800;1705033;1705033;1705033;1583903;375409
24;75221000;0;1;75220999;81595799;81595799;81595799;81595799;79352058;84962985;6374800;6374800;6374800;6374800;4131059;9741986;1;852001;74368999;80743799;77967423;77967423;77967423;76949190;75691588;6374800;3598424;3598424;3598424;2580191;1322589;2;62030001;13190999;19565799;58158451;58158451;58158451;56776243;57621462;6374800;44967452;44967452;44967452;43585244;44430463;3;66555001;8665999;15040799;42744987;42744987;42744987;44435632;38784092;6374800;34078988;34078988;34078988;35769633;30118093;4;71085001;4135999;10510799;23396509;23396509;23396509;21946062;24447635;6374800;19260510;19260510;19260510;17810063;20311636;5;72868001;2352999;8727799;13130237;13130237;13130237;12988431;15422722;6374800;10777238;10777238;10777238;10635432;13069723;6;74660001;560999;6935799;2307032;2307032;2307032;2070265;2431988;6374800;1746033;1746033;1746033;1509266;1870989
25;80173000;0;1;80172999;81595799;81595799;81595799;81595799;81084503;83909521;1422800;1422800;1422800;1422800;911504;3736522;1;1132001;79040999;80463799;77967423;77967423;77967423;78780778;73834368;1422800;1073576;1073576;1073576;260221;5206631;2;63537001;16635999;18058799;58158451;58158451;58158451;58768895;57504945;1422800;41522452;41522452;41522452;42132896;40868946;3;68388001;11784999;13207799;42744987;42744987;42744987;42054306;40398092;1422800;30959988;30959988;30959988;30269307;28613093;4;73898001;6274999;7697799;23396509;23396509;23396509;24476501;23386335;1422800;17121510;17121510;17121510;18201502;17111336;5;77735001;2437999;3860799;13130237;13130237;13130237;11893413;11664182;1422800;10692238;10692238;10692238;9455414;9226183;6;79529001;643999;2066799;2307032;2307032;2307032;2351037;2844982;1422800;1663033;1663033;1663033;1707038;2200983
26;21871000;0;1;21870999;81595799;81595799;81595799;81595799;82511303;76000091;59724800;59724800;59724800;59724800;60640304;54129092;1;1053001;20817999;80542799;77967423;77967423;77967423;79287407;73889918;59724800;57149424;57149424;57149424;58469408;53071919;2;7257001;14613999;74338799;58158451;58158451;58158451;61580011;52541018;59724800;43544452;43544452;43544452;46966012;37927019;3;11868001;10002999;69727799;42744987;42744987;42744987;43597735;43478012;59724800;32741988;32741988;32741988;33594736;33475013;4;16820001;5050999;64775799;23396509;23396509;23396509;22505157;17096872;59724800;18345510;18345510;18345510;17454158;12045873;5;18894001;2976999;62701799;13130237;13130237;13130237;15234507;11241855;59724800;10153238;10153238;10153238;12257508;8264856;6;21154001;716999;60441799;2307032;2307032;2307032;2327684;2656458;59724800;1590033;1590033;1590033;1610685;1939459
27;78925000;0;1;78924999;81595799;81595799;81595799;81595799;83407690;78973445;2670800;2670800;2670800;2670800;4482691;48446;1;796001;78128999;80799799;77967423;77967423;77967423;76373698;78911525;2670800;161576;161576;161576;1755301;782526;2;62447001;16477999;19148799;58158451;58158451;58158451;58673348;59701438;2670800;41680452;41680452;41680452;42195349;43223439;3;66449001;12475999;15146799;42744987;42744987;42744987;40706496;42665572;2670800;30268988;30268988;30268988;28230497;30189573;4;72239001;6685999;9356799;23396509;23396509;23396509;22615765;20342525;2670800;16710510;16710510;16710510;15929766;13656526;5;75756001;3168999;5839799;13130237;13130237;13130237;13397165;9524102;2670800;9961238;9961238;9961238;10228166;6355103;6;78299001;625999;3296799;2307032;2307032;2307032;2265435;2265562;2670800;1681033;1681033;1681033;1639436;1639563
28;23897000;0;1;23896999;81595799;81595799;81595799;81595799;79528554;88914845;57698800;57698800;57698800;57698800;55631555;65017846;1;980001;22916999;80615799;77967423;77967423;77967423;79225319;73167205;57698800;55050424;55050424;55050424;56308320;50250206;2;8820001;15076999;72775799;58158451;58158451;58158451;59607829;59259485;57698800;43081452;43081452;43081452;44530830;44182486;3;14046001;9850999;67549799;42744987;42744987;42744987;42366911;40972268;57698800;32893988;32893988;32893988;32515912;31121269;4;19084001;4812999;62511799;23396509;23396509;23396509;24640462;23667508;57698800;18583510;18583510;18583510;19827463;18854509;5;20378001;3518999;61217799;13130237;13130237;13130237;13112311;15321625;57698800;9611238;9611238;9611238;9593312;11802626;6;23177001;719999;58418799;2307032;2307032;2307032;2537665;4528282;57698800;1587033;1587033;1587033;1817666;3808283
29;25506000;0;1;25505999;81595799;81595799;81595799;81595799;82024765;91214311;56089800;56089800;56089800;56089800;56518766;65708312;1;837001;24668999;80758799;77967423;77967423;77967423;75095334;84228808;56089800;53298424;53298424;53298424;50426335;59559809;2;7744001;17761999;73851799;58158451;58158451;58158451;58219746;59305198;56089800;40396452;40396452;40396452;40457747;41543199;3;12692001;12813999;68903799;42744987;42744987;42744987;43412024;42614345;56089800;29930988;29930988;29930988;30598025;29800346;4;17894001;7611999;63701799;23396509;23396509;23396509;22762690;20001735;56089800;15784510;15784510;15784510;15150691;12389736;5;22131001;3374999;59464799;13130237;13130237;13130237;13305008;12811518;56089800;9755238;9755238;9755238;9930009;9436519;6;24654001;851999;56941799;2307032;2307032;2307032;2108992;1667162;56089800;1455033;1455033;1455033;1256993;815163
