Case ID,Status_change_to_Being_Approved,Check_order_numbers,Compare_of_sums,Check_cost_center,Get_lowest_approval_level,Approving_on_specific_level,Manual_identification_CC,Manual_enter_the_order_number,Check_whether_the_total_approval,Shift_to_higher_level,Status_change_to_Accounted,Process_end,Status_change_to_Approved,Invoice_accounting_confirmation,Invoice_accounting,x11,x21,x31,x41,x51,x61
977081,1.0,2.0,0.0,1.0,0.0,2.0,-1.0,-1.0,82028.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977082,1.0,0.0,0.0,1.0,0.0,3.0,-1.0,-1.0,82667.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977083,1.0,1.0,21029.0,0.0,0.0,2.0,-1.0,1.0,61599.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0,1,1,1,0,0
977085,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,83246.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977087,2.0,2.0,1.0,0.0,0.0,3.0,-1.0,-1.0,83253.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977092,1.0,1.0,0.0,1.0,0.0,2.0,-1.0,-1.0,83168.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977094,1.0,0.0,76406.0,0.0,0.0,2.0,-1.0,1.0,6857.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,1,0,0
977096,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,83229.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977099,1.0,1.0,0.0,0.0,1.0,2.0,-1.0,-1.0,83248.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977101,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,83217.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977104,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,83192.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977109,1.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,83023.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977111,3.0,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,83017.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977112,1.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,82953.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977114,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,82957.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977115,0.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,82949.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977116,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,82928.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977117,1.0,1.0,0.0,0.0,1.0,2.0,-1.0,-1.0,82959.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977128,5.0,1.0,76.0,0.0,1.0,2.0,-1.0,1.0,27681.5,1.0,1.0,1.0,-1.0,-1.0,-1.0,0,1,1,0,1,0
977129,1.0,0.0,27.0,0.0,0.0,3.5,-1.0,1.0,27637.5,1.0,1.0,4.0,-1.0,-1.0,-1.0,0,1,1,0,1,0
977261,2.0,1.0,13723.0,0.0,0.0,3.0,-1.0,2.0,49306.5,0.0,18.0,1.0,2.0,0.0,275991.0,0,1,1,0,1,1
977262,2.0,1.0,1.0,1.0,0.0,6.0,-1.0,-1.0,87430.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977265,1.0,1.0,0.0,1.0,0.0,3.0,-1.0,-1.0,91915.0,-1.0,1.0,2.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977269,1.0,1.0,14075.0,1.0,0.0,2.5,-1.0,1.0,1506630.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,0,1,0
977270,2.0,0.0,14071.0,0.0,1.0,1.5,-1.0,3.0,177839.5,0.0,1.0,0.0,-1.0,-1.0,-1.0,0,1,1,0,1,0
977271,1.0,2.0,14073.0,0.0,1.0,2.0,-1.0,1.0,213377.5,1.0,1.0,1.0,-1.0,-1.0,-1.0,0,1,1,0,1,0
977287,2.0,1.0,13945.0,1.0,0.0,2.0,-1.0,2.0,615869.5,1.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,0,1,0
977292,2.0,1.0,13760.0,1.0,0.0,2.0,-1.0,2.0,532375.0,-1.0,0.0,3.0,-1.0,-1.0,-1.0,0,1,1,1,0,0
977296,1.0,1.0,13578.0,0.0,1.0,1.5,-1.0,1.0,163294.5,0.0,18.0,1.0,1.0,1.0,782746.0,0,1,1,0,1,1
977297,1.0,1.0,13512.0,1.0,0.0,2.5,-1.0,1.0,44298.5,0.0,42.0,0.0,3.0,0.0,1028781.0,0,1,1,0,1,1
977299,2.0,2.0,13440.0,0.0,16720.0,2.0,70475.0,2.0,166035.0,1.0,22.0,1.0,2.0,2.0,244091.0,0,1,1,0,1,1
977302,5.0,1.0,0.0,0.0,1.0,3.0,-1.0,-1.0,103138.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977303,4.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.0,0.0,5.0,2.0,1071442.0,1,0,-1,-1,-1,1
977304,3.0,0.0,0.0,1.0,0.0,2.0,-1.0,-1.0,102843.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977305,1.0,1.0,0.0,0.0,0.0,2.0,-1.0,-1.0,85677.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977306,2.0,1.0,0.0,2.0,0.0,1.0,-1.0,-1.0,90141.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977307,2.0,0.0,12337.0,1.0,1.0,2.5,-1.0,2.0,8883.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0,1,1,0,1,0
977309,1.0,1.0,12098.0,0.0,1.0,3.0,-1.0,1.0,8952.5,0.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,0,1,0
977310,1.0,1.0,12167.0,1.0,1.0,3.0,-1.0,1.0,8938.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0,1,1,0,1,0
977311,1.0,1.0,0.0,0.0,1.0,3.0,-1.0,-1.0,89961.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977312,2.0,2.0,12046.0,0.0,0.0,2.0,-1.0,2.0,8996.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,0,1,0
977313,1.0,0.0,0.0,1.0,0.0,4.0,-1.0,-1.0,89872.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977314,2.0,1.0,0.0,1.0,0.0,3.0,-1.0,-1.0,89807.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977315,1.0,1.0,0.0,1.0,1.0,2.0,-1.0,-1.0,89755.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977316,1.0,1.0,0.0,2.0,0.0,2.0,-1.0,-1.0,91013.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977317,1.0,0.0,0.0,1.0,0.0,2.0,-1.0,-1.0,90971.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977318,1.0,1.0,1.0,0.0,1.0,2.0,-1.0,-1.0,84749.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977319,1.0,0.0,1.0,1.0,1.0,4.0,-1.0,-1.0,84756.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977320,2.0,1.0,1.0,0.0,0.0,4.0,-1.0,-1.0,90917.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977321,1.0,2.0,0.0,0.0,1.0,2.0,-1.0,-1.0,84809.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977322,2.0,1.0,11226.0,0.0,1.0,2.0,-1.0,2.0,96292.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,1,0,0
977323,1.0,2.0,0.0,1.0,0.0,2.0,-1.0,-1.0,358584.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977325,1.0,1.0,0.0,1.0,0.0,2.0,-1.0,-1.0,84663.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977326,1.0,1.0,0.0,0.0,1.0,2.0,-1.0,-1.0,90880.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977327,1.0,0.0,1.0,0.0,1.0,1.0,-1.0,-1.0,90884.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977328,1.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,104790.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977329,1.0,1.0,1.0,0.0,1.0,2.0,-1.0,-1.0,90699.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977330,1.0,1.0,0.0,0.0,1.0,2.0,-1.0,-1.0,102129.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977331,1.0,0.0,1.0,0.0,1.0,3.0,-1.0,-1.0,102159.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977332,2.0,1.0,0.0,1.0,0.0,3.0,-1.0,-1.0,90675.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977333,2.0,0.0,1.0,1.0,0.0,2.0,-1.0,-1.0,102080.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977335,1.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,102086.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977336,1.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,103594.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977337,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0,90341.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977338,2.0,0.0,10376.0,2.0,0.0,2.0,-1.0,2.0,96342.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0,1,1,1,0,0
977339,1.0,0.0,10281.0,1.0,0.0,2.0,-1.0,1.0,87754.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,1,0,0
977340,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,103402.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977341,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0,103447.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977342,0.0,1.0,0.0,1.0,0.0,2.0,-1.0,-1.0,103517.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977343,1.0,0.0,0.0,1.0,0.0,2.0,-1.0,-1.0,103505.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977348,7.0,2.0,2.0,1.0,1.0,5.0,-1.0,-1.0,102333.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977349,7.0,1.0,8621.0,0.0,1.0,2.5,-1.0,3.0,177101.5,0.0,1.0,1.0,-1.0,-1.0,-1.0,0,1,1,0,1,0
977350,2.0,2.0,1.0,1.0,1.0,4.0,-1.0,-1.0,102187.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977351,2.0,1.0,0.0,1.0,0.0,4.0,-1.0,-1.0,103569.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977352,2.0,1.0,0.0,1.0,0.0,4.0,-1.0,-1.0,103601.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977353,1.0,2.0,1.0,0.0,0.0,2.0,-1.0,-1.0,103660.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977354,2.0,0.0,0.0,1.0,0.0,2.0,-1.0,-1.0,103900.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977355,1.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,82132.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977356,2.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,82183.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977357,1.0,1.0,0.0,0.0,0.0,6.0,-1.0,-1.0,82208.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977358,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,82367.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977359,1.0,0.0,1.0,1.0,0.0,4.0,-1.0,-1.0,82389.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977360,1.0,1.0,0.0,1.0,1.0,3.0,-1.0,-1.0,82483.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977361,2.0,1.0,1.0,0.0,1.0,2.0,-1.0,-1.0,82521.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977362,1.0,1.0,0.0,1.0,0.0,2.0,-1.0,-1.0,82558.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977363,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,82588.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977364,0.0,1.0,0.0,1.0,0.0,2.0,-1.0,-1.0,88616.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977365,1.0,1.0,0.0,1.0,0.0,3.0,-1.0,-1.0,88649.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977366,2.0,3.0,0.0,0.0,1.0,2.0,-1.0,-1.0,88782.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977367,1.0,1.0,8384.0,1.0,0.0,2.0,-1.0,2.0,87715.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,1,0,0
977368,0.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,88840.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977369,1.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,88881.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977370,1.0,0.0,0.0,1.0,0.0,2.0,-1.0,-1.0,88951.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977371,1.0,1.0,0.0,0.0,0.0,2.0,-1.0,-1.0,88972.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977372,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,89008.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977373,1.0,0.0,0.0,1.0,0.0,2.0,-1.0,-1.0,82525.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977374,1.0,1.0,0.0,1.0,0.0,3.0,-1.0,-1.0,82593.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977375,2.0,0.0,0.0,1.0,0.0,2.0,-1.0,-1.0,88981.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977376,1.0,1.0,0.0,1.0,0.0,2.0,-1.0,-1.0,89115.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977377,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,89153.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977378,1.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,89220.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977379,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,95412.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977380,1.0,0.0,0.0,1.0,0.0,3.0,-1.0,-1.0,95372.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977381,1.0,0.0,0.0,1.0,0.0,2.0,-1.0,-1.0,95294.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977382,0.0,1.0,0.0,1.0,0.0,2.0,-1.0,-1.0,95256.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977383,1.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,95234.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977384,2.0,0.0,1.0,0.0,1.0,2.0,-1.0,-1.0,95242.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977385,1.0,1.0,0.0,0.0,0.0,2.0,-1.0,-1.0,103161.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977386,1.0,1.0,0.0,0.0,1.0,2.0,-1.0,-1.0,95197.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977387,1.0,0.0,7608.0,1.0,1.0,3.0,-1.0,2.0,96315.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,1,0,0
977388,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,95258.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977389,1.0,0.0,0.0,1.0,0.0,2.0,-1.0,-1.0,103067.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977390,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,103094.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977391,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0,103119.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977392,2.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,103034.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977393,1.0,1.0,0.0,1.0,0.0,2.0,-1.0,-1.0,102863.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977394,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0,81403.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977395,1.0,1.0,1.0,0.0,0.0,2.0,-1.0,-1.0,81531.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977396,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,81554.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977397,1.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,81559.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977398,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,81704.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977399,0.0,1.0,0.0,2.0,0.0,1.0,-1.0,-1.0,81738.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977400,0.0,1.0,0.0,1.0,0.0,3.0,-1.0,-1.0,81748.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977402,2.0,1.0,1.0,1.0,16214.0,1.3333333333333333,1.0,-1.0,29481.666666666668,0.0,16.0,0.0,2.0,0.0,1019411.0,1,1,0,0,1,1
977439,6.0,1.0,1.0,2.0,1.0,3.0,-1.0,-1.0,98496.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977440,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,1.0,5.0,1.0,1132386.0,1,0,-1,-1,-1,1
977447,1.0,0.0,1.0,0.0,0.0,4.0,-1.0,-1.0,77734.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977524,2.0,1.0,0.0,1.0,0.0,2.0,-1.0,-1.0,96294.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977527,2.0,1.0,0.0,1.0,0.0,5.0,-1.0,-1.0,96105.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977539,2.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,86580.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977566,2.0,2.0,0.0,1.0,0.0,2.0,-1.0,-1.0,95655.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977571,1.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,95439.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977616,1.0,1.0,0.0,1.0,0.0,2.0,-1.0,-1.0,93855.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977617,1.0,0.0,1.0,1.0,0.0,2.0,-1.0,-1.0,93902.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977621,2.0,1.0,0.0,2.0,0.0,4.0,-1.0,-1.0,84170.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977622,1.0,1.0,0.0,2.0,0.0,1.0,-1.0,-1.0,71769.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977628,1.0,1.0,0.0,1.0,0.0,3.0,-1.0,-1.0,84642.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977629,1.0,1.0,0.0,0.0,0.0,2.0,-1.0,-1.0,71452.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977630,2.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,71464.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977631,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,71465.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977632,1.0,1.0,12622.0,1.0,0.0,2.0,-1.0,3.0,71963.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0,1,1,1,0,0
977633,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,0.0,2.0,1.0,611385.0,1,0,-1,-1,-1,1
977634,1.0,0.0,1.0,0.0,1.0,2.0,-1.0,-1.0,84387.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977635,2.0,1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,93175.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977637,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,83772.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977638,1.0,0.0,1.0,0.0,1.0,2.0,-1.0,-1.0,83787.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977640,1.0,1.0,12418.0,1.0,0.0,2.0,-1.0,0.0,72047.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0,1,1,1,0,0
977641,1.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,83768.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977642,1.0,0.0,1.0,0.0,0.0,2.0,-1.0,-1.0,83793.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977643,1.0,0.0,0.0,1.0,0.0,2.0,-1.0,-1.0,83823.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977645,1.0,2.0,0.0,1.0,1.0,2.0,-1.0,-1.0,83809.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977647,1.0,1.0,0.0,0.0,1.0,3.0,-1.0,-1.0,83760.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
977649,1.0,1.0,0.0,1.0,1.0,2.0,-1.0,-1.0,83778.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,1,1,0,0
